date,IC4WSA
1983-12-03,385000.0
1983-12-10,379500.0
1983-12-17,373250.0
1983-12-24,368000.0
1983-12-31,369750.0
1984-01-07,366750.0
1984-01-14,364000.0
1984-01-21,353000.0
1984-01-28,351000.0
1984-02-04,347500.0
1984-02-11,344250.0
1984-02-18,344500.0
1984-02-25,339250.0
1984-03-03,340500.0
1984-03-10,342500.0
1984-03-17,346250.0
1984-03-24,347000.0
1984-03-31,345500.0
1984-04-07,354250.0
1984-04-14,356250.0
1984-04-21,360750.0
1984-04-28,369250.0
1984-05-05,365250.0
1984-05-12,368000.0
1984-05-19,365500.0
1984-05-26,360250.0
1984-06-02,357750.0
1984-06-09,358000.0
1984-06-16,359750.0
1984-06-23,361750.0
1984-06-30,363000.0
1984-07-07,362250.0
1984-07-14,362000.0
1984-07-21,360750.0
1984-07-28,360500.0
1984-08-04,364500.0
1984-08-11,369500.0
1984-08-18,380500.0
1984-08-25,389500.0
1984-09-01,390250.0
1984-09-08,395750.0
1984-09-15,393750.0
1984-09-22,393750.0
1984-09-29,398000.0
1984-10-06,398250.0
1984-10-13,402500.0
1984-10-20,413500.0
1984-10-27,419250.0
1984-11-03,424250.0
1984-11-10,420000.0
1984-11-17,406000.0
1984-11-24,407000.0
1984-12-01,401500.0
1984-12-08,399000.0
1984-12-15,399750.0
1984-12-22,387250.0
1984-12-29,381750.0
1985-01-05,378250.0
1985-01-12,378500.0
1985-01-19,373500.0
1985-01-26,370750.0
1985-02-02,375000.0
1985-02-09,378500.0
1985-02-16,386250.0
1985-02-23,391750.0
1985-03-02,388750.0
1985-03-09,384750.0
1985-03-16,383750.0
1985-03-23,379500.0
1985-03-30,382500.0
1985-04-06,387500.0
1985-04-13,393750.0
1985-04-20,398250.0
1985-04-27,398250.0
1985-05-04,394500.0
1985-05-11,390250.0
1985-05-18,390250.0
1985-05-25,392750.0
1985-06-01,393500.0
1985-06-08,395750.0
1985-06-15,395500.0
1985-06-22,393000.0
1985-06-29,392250.0
1985-07-06,390250.0
1985-07-13,389250.0
1985-07-20,385250.0
1985-07-27,378250.0
1985-08-03,381250.0
1985-08-10,385250.0
1985-08-17,392500.0
1985-08-24,403250.0
1985-08-31,403750.0
1985-09-07,409750.0
1985-09-14,412000.0
1985-09-21,411000.0
1985-09-28,408500.0
1985-10-05,403250.0
1985-10-12,401250.0
1985-10-19,401000.0
1985-10-26,405750.0
1985-11-02,404000.0
1985-11-09,403250.0
1985-11-16,402500.0
1985-11-23,393500.0
1985-11-30,392250.0
1985-12-07,392750.0
1985-12-14,389000.0
1985-12-21,386000.0
1985-12-28,385250.0
1986-01-04,376000.0
1986-01-11,379750.0
1986-01-18,378250.0
1986-01-25,366750.0
1986-02-01,367250.0
1986-02-08,359500.0
1986-02-15,358000.0
1986-02-22,369500.0
1986-03-01,372250.0
1986-03-08,372250.0
1986-03-15,378250.0
1986-03-22,377500.0
1986-03-29,382750.0
1986-04-05,386500.0
1986-04-12,388000.0
1986-04-19,387000.0
1986-04-26,385750.0
1986-05-03,388500.0
1986-05-10,390250.0
1986-05-17,390500.0
1986-05-24,389250.0
1986-05-31,384500.0
1986-06-07,379500.0
1986-06-14,375750.0
1986-06-21,371000.0
1986-06-28,370500.0
1986-07-05,369500.0
1986-07-12,367500.0
1986-07-19,364250.0
1986-07-26,362000.0
1986-08-02,373250.0
1986-08-09,387000.0
1986-08-16,400250.0
1986-08-23,409000.0
1986-08-30,405250.0
1986-09-06,401250.0
1986-09-13,398000.0
1986-09-20,398500.0
1986-09-27,395500.0
1986-10-04,393250.0
1986-10-11,391500.0
1986-10-18,388000.0
1986-10-25,383250.0
1986-11-01,376500.0
1986-11-08,367000.0
1986-11-15,362750.0
1986-11-22,362500.0
1986-11-29,363000.0
1986-12-06,366500.0
1986-12-13,368250.0
1986-12-20,363500.0
1986-12-27,358250.0
1987-01-03,348250.0
1987-01-10,341500.0
1987-01-17,339250.0
1987-01-24,339500.0
1987-01-31,351250.0
1987-02-07,356250.0
1987-02-14,355500.0
1987-02-21,354250.0
1987-02-28,348750.0
1987-03-07,341000.0
1987-03-14,340250.0
1987-03-21,338750.0
1987-03-28,333250.0
1987-04-04,331500.0
1987-04-11,332250.0
1987-04-18,335750.0
1987-04-25,336250.0
1987-05-02,336250.0
1987-05-09,330500.0
1987-05-16,328500.0
1987-05-23,332250.0
1987-05-30,331250.0
1987-06-06,334500.0
1987-06-13,328250.0
1987-06-20,322250.0
1987-06-27,322250.0
1987-07-04,321750.0
1987-07-11,322000.0
1987-07-18,319750.0
1987-07-25,319250.0
1987-08-01,324750.0
1987-08-08,327250.0
1987-08-15,329500.0
1987-08-22,326500.0
1987-08-29,320000.0
1987-09-05,317250.0
1987-09-12,311750.0
1987-09-19,311000.0
1987-09-26,309750.0
1987-10-03,306000.0
1987-10-10,308750.0
1987-10-17,306750.0
1987-10-24,302750.0
1987-10-31,299750.0
1987-11-07,297000.0
1987-11-14,298500.0
1987-11-21,302500.0
1987-11-28,306750.0
1987-12-05,312250.0
1987-12-12,314750.0
1987-12-19,316250.0
1987-12-26,318750.0
1988-01-02,317750.0
1988-01-09,319750.0
1988-01-16,329250.0
1988-01-23,334000.0
1988-01-30,340750.0
1988-02-06,339000.0
1988-02-13,326500.0
1988-02-20,324500.0
1988-02-27,318750.0
1988-03-05,316000.0
1988-03-12,314250.0
1988-03-19,309250.0
1988-03-26,305500.0
1988-04-02,306000.0
1988-04-09,308250.0
1988-04-16,310000.0
1988-04-23,312000.0
1988-04-30,313000.0
1988-05-07,312000.0
1988-05-14,312000.0
1988-05-21,313750.0
1988-05-28,313750.0
1988-06-04,314000.0
1988-06-11,311750.0
1988-06-18,309750.0
1988-06-25,308250.0
1988-07-02,307000.0
1988-07-09,306500.0
1988-07-16,307500.0
1988-07-23,319250.0
1988-07-30,325750.0
1988-08-06,329000.0
1988-08-13,328250.0
1988-08-20,318750.0
1988-08-27,314750.0
1988-09-03,312250.0
1988-09-10,310500.0
1988-09-17,308000.0
1988-09-24,304500.0
1988-10-01,301000.0
1988-10-08,297750.0
1988-10-15,294500.0
1988-10-22,290750.0
1988-10-29,291250.0
1988-11-05,289500.0
1988-11-12,287250.0
1988-11-19,289250.0
1988-11-26,290500.0
1988-12-03,293750.0
1988-12-10,294000.0
1988-12-17,293750.0
1988-12-24,290500.0
1988-12-31,292000.0
1989-01-07,295500.0
1989-01-14,293000.0
1989-01-21,292000.0
1989-01-28,289750.0
1989-02-04,287000.0
1989-02-11,296750.0
1989-02-18,302500.0
1989-02-25,303750.0
1989-03-04,313000.0
1989-03-11,313750.0
1989-03-18,317250.0
1989-03-25,322000.0
1989-04-01,321500.0
1989-04-08,318750.0
1989-04-15,315750.0
1989-04-22,312000.0
1989-04-29,309000.0
1989-05-06,310500.0
1989-05-13,316750.0
1989-05-20,321000.0
1989-05-27,324500.0
1989-06-03,325750.0
1989-06-10,325750.0
1989-06-17,329750.0
1989-06-24,333000.0
1989-07-01,339000.0
1989-07-08,341250.0
1989-07-15,344250.0
1989-07-22,342750.0
1989-07-29,339750.0
1989-08-05,339000.0
1989-08-12,337000.0
1989-08-19,335750.0
1989-08-26,334500.0
1989-09-02,332250.0
1989-09-09,331000.0
1989-09-16,332750.0
1989-09-23,333250.0
1989-09-30,337750.0
1989-10-07,355500.0
1989-10-14,358250.0
1989-10-21,361500.0
1989-10-28,363250.0
1989-11-04,344750.0
1989-11-11,342500.0
1989-11-18,339750.0
1989-11-25,336750.0
1989-12-02,339500.0
1989-12-09,340000.0
1989-12-16,344750.0
1989-12-23,354500.0
1989-12-30,358000.0
1990-01-06,362250.0
1990-01-13,365750.0
1990-01-20,364250.0
1990-01-27,361000.0
1990-02-03,364250.0
1990-02-10,363750.0
1990-02-17,357000.0
1990-02-24,358250.0
1990-03-03,354000.0
1990-03-10,349500.0
1990-03-17,349750.0
1990-03-24,345000.0
1990-03-31,343750.0
1990-04-07,348250.0
1990-04-14,350250.0
1990-04-21,357500.0
1990-04-28,361750.0
1990-05-05,358500.0
1990-05-12,358000.0
1990-05-19,356250.0
1990-05-26,355250.0
1990-06-02,358750.0
1990-06-09,359750.0
1990-06-16,361250.0
