method,spec,h,n,RMSE,MAE,dMSE,RMSE_nc,MAE_nc,dMSE_nc
A,spec1,1,104,6.103190557517129,2.600882731065828,-0.44730360490190324,3.985506973605942,2.1668573692632322,-0.0010031064716122806
A,spec1,2,103,3.108940928984578,1.8006030484324582,0.11131593733745382,2.7743025300048236,1.6760217777976776,0.05504685266072651
A,spec1,4,101,2.082326576557525,1.4027761644247483,0.14339278231294672,1.937283365290436,1.3376598818381678,0.07658065619264753
A,spec2,1,104,6.146289005817346,2.6537922813235415,-0.4678164100956246,4.048808356648909,2.2200219773476015,-0.03305327741531028
A,spec2,2,103,3.1807296930178133,1.8883273258017677,0.06980076642773125,2.8532486667619557,1.7642040913832344,0.0005020999318325892
A,spec2,4,101,2.139669696146368,1.4575008147491149,0.09556467370966926,1.9990756182071157,1.392850514731664,0.01673379238674466
A,spec3,1,104,6.767874303598228,3.554345018937525,-0.8041237993026131,5.097140572246468,3.1452582359091243,-0.6921641901344164
A,spec3,2,103,4.463821386813508,2.710783616012807,-0.9072252921642696,4.232035108726353,2.590132936182455,-1.3493801850739566
A,spec3,4,101,3.764614680921288,2.1265002544108054,-2.1055377770537644,3.6820052857321586,2.060766176005364,-2.8703468884621572
A,spec4_q0.5,1,104,6.15045325808188,2.6597121868948155,-0.4698060426805626,4.055660881143622,2.226039841360327,-0.03655307924030393
A,spec4_q0.5,2,103,3.1871840482197684,1.8908188693447974,0.06602180477311825,2.8603502339060474,1.7666881653864537,-0.004479474077721868
A,spec4_q0.5,4,101,2.1453504499143072,1.460490051508959,0.090755805460497,2.005064865387158,1.3958315478537142,0.010833219051301857
A,spec4_q1.5,1,104,6.143634916411059,2.6506982406690542,-0.4665490193637416,4.044987420747781,2.2169191241999155,-0.031104374197132634
A,spec4_q1.5,2,103,3.1781184773592694,1.8892294357701984,0.07132743107181672,2.8506370947014115,1.7651793605661545,0.00233093892359737
A,spec4_q1.5,4,101,2.1375991977578623,1.4560250047903316,0.09731422023292091,1.9969381708282372,1.3913854079036116,0.01883531989504006
A,spec4_q2.0,1,104,6.14212872227522,2.649217579133567,-0.4658300193608613,4.043046259536237,2.215455614156449,-0.03011497208255931
A,spec4_q2.0,2,103,3.1777165089109323,1.8914403544951213,0.07156233324232819,2.850498683039173,1.7674735398322206,0.0024278194987727986
A,spec4_q2.0,4,101,2.1377139945651904,1.4555672572946612,0.09721726264781572,1.997136779765473,1.3909418704724812,0.018640143331552506
B,spec1,1,104,6.103190557517129,2.600882731065828,-0.44730360490190324,3.985506973605942,2.1668573692632322,-0.0010031064716122806
B,spec1,2,103,3.108940928984578,1.8006030484324582,0.11131593733745382,2.7743025300048236,1.6760217777976776,0.05504685266072651
B,spec1,4,101,2.082326576557525,1.4027761644247483,0.14339278231294672,1.937283365290436,1.3376598818381678,0.07658065619264753
B,spec2,1,104,6.217997187529918,2.6085528027901432,-0.5022659593006171,4.162774192669745,2.1747724857970097,-0.09202853172988879
B,spec2,2,103,3.197689631598721,1.8261846300854858,0.05985450676354531,2.866346759603572,1.7002774384939563,-0.008695531757508812
B,spec2,4,101,2.1726995001985103,1.4189899082932296,0.06742584746166058,2.030022697325121,1.352753617755534,-0.013945136964692573
B,spec3,1,104,6.356334664169619,2.772396450705812,-0.5913850622206962,4.126016248909945,2.3189081330537094,-0.1087947121109365
B,spec3,2,103,3.445508026606561,1.9370187771377332,-0.1363049853568452,2.923268918582125,1.7722997774667155,-0.12096567857442686
B,spec3,4,101,2.2213268999196583,1.4185341627757033,-0.08123651795521747,2.050413245375807,1.3444335116607158,-0.2002283296916243
B,spec4_q0.5,1,104,6.219197134805177,2.605894945591158,-0.502845828936022,4.1666248314677965,2.1722686583083313,-0.09404975704300256
B,spec4_q0.5,2,103,3.1782730103490784,1.8127766704191364,0.07123711723444115,2.8452720377151355,1.6868963635928715,0.006082741969247962
B,spec4_q0.5,4,101,2.163495731316159,1.4174042092832602,0.07531006461304979,2.019548314569997,1.351021096365817,-0.00350875109626414
B,spec4_q1.5,1,104,6.2106378697092355,2.6125729392223676,-0.4987120464096446,4.150457889310791,2.1787255702979453,-0.08557617216706737
B,spec4_q1.5,2,103,3.199731479270284,1.8332946509357955,0.05865348540905857,2.8698705531178224,1.7076967390569113,-0.011177171226995242
B,spec4_q1.5,4,101,2.1714103198334063,1.4209886075411338,0.06853221270401477,2.0296341255996477,1.3550262839020086,-0.013557010561397353
B,spec4_q2.0,1,104,6.20245606019794,2.6191238503017655,-0.4947658818702947,4.137440954403463,2.185283684601563,-0.07877754143065219
B,spec4_q2.0,2,103,3.195876884425387,1.8400141554465423,0.060920128020935826,2.867491481767864,1.7148665595590304,-0.009501370547038146
B,spec4_q2.0,4,101,2.163673874573637,1.4224580787334562,0.07515777953411629,2.022625914528004,1.356852596778277,-0.00656958572054811
